,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Along,6,IN,1571077793,89,28.17,94.8,63.05,4.33
377,Sinnamary,50,GF,1571077550,77,5.38,-52.96,81.95,11.44
378,Gainesville,90,US,1571077795,48,29.65,-82.33,91.0,2.26
379,Freeport,20,BS,1571077434,66,26.54,-78.7,84.2,12.75
380,Macapa,40,BR,1571077798,49,0.05,-51.07,93.2,16.11
381,Yeppoon,90,AU,1571077799,73,-23.13,150.74,71.6,4.7
382,Norman Wells,75,CA,1571077723,92,65.28,-126.83,28.4,3.36
383,Barabai,54,ID,1571077803,92,-2.59,115.38,74.03,1.88
384,Port Moresby,20,PG,1571077630,94,-9.47,147.16,73.4,3.36
385,Kaabong,49,UG,1571077806,70,3.51,34.14,68.99,5.4
386,Marolambo,87,MG,1571077807,97,-20.05,48.13,65.93,3.2
387,Primo Tapia,1,MX,1571077808,52,32.22,-116.92,72.0,4.7
388,Inhambane,20,MZ,1571077378,73,-23.87,35.38,73.4,2.24
389,Homer,1,US,1571077811,86,59.64,-151.54,39.99,5.82
390,Barth,75,DE,1571077812,87,54.37,12.73,55.99,6.93
391,Aykhal,0,RU,1571077814,87,65.95,111.51,11.39,5.04
392,Port Macquarie,37,AU,1571077815,100,-31.43,152.91,55.0,4.7
393,Porto Recanati,100,IT,1571077816,97,43.44,13.66,64.0,1.01
394,Rio Grande,90,BR,1571077227,72,-32.03,-52.1,60.8,13.87
395,Sitka,0,US,1571077315,42,37.17,-99.65,70.0,13.0
396,Santa Maria,75,BR,1571077820,18,-16.02,-48.01,90.0,9.17
397,Adrar,31,DZ,1571077822,22,27.87,-0.29,91.4,6.93
398,Yangambi,100,CD,1571077823,86,0.77,24.47,74.21,0.71
399,Cervo,20,BR,1571077825,28,-22.19,-46.24,86.0,5.55
400,San Policarpo,100,PH,1571077826,83,12.18,125.51,79.07,8.32
401,Rovaniemi,90,FI,1571077827,94,66.5,25.72,32.0,3.36
402,Manado,40,ID,1571077829,94,1.49,124.85,73.4,1.72
403,Makakilo City,40,US,1571077693,61,21.35,-158.09,82.4,6.93
404,Aripuana,48,BR,1571077831,49,-9.17,-60.63,90.95,0.94
405,Half Moon Bay,20,US,1571077833,76,37.46,-122.43,70.0,6.93
406,Antalaha,2,MG,1571077408,81,-14.9,50.28,77.09,7.02
407,Lebu,20,ET,1571077741,47,8.96,38.73,59.0,13.87
408,Spring Hill,1,US,1571077836,43,28.46,-82.54,90.0,3.2
409,Rochester,1,US,1571077839,52,44.02,-92.46,50.0,9.17
410,Port Hardy,90,CA,1571077562,76,50.7,-127.42,48.2,13.87
411,Nelson Bay,75,AU,1571077547,93,-32.72,152.14,59.0,2.96
412,Calderitas,75,MX,1571077843,88,18.55,-88.26,82.4,5.82
413,Leh,15,IN,1571077310,32,34.16,77.58,34.79,2.57
414,Mlonggo,100,ID,1571077845,69,-6.53,110.7,82.4,2.24
415,Scottsbluff,1,US,1571077847,12,41.87,-103.67,73.4,14.99
416,Gagra,0,GE,1571077848,93,43.29,40.27,62.01,3.61
417,Idah,74,NG,1571077849,78,7.11,6.73,80.69,3.49
418,Balkanabat,0,TM,1571077851,41,39.51,54.36,60.89,4.68
419,Naze,75,NG,1571077852,94,5.43,7.07,77.0,13.87
420,Yar-Sale,100,RU,1571077853,96,66.83,70.83,38.93,13.46
421,Bukavu,100,CD,1571077855,91,-2.51,28.86,63.23,0.88
422,Bonanza,100,NI,1571077856,93,14.03,-84.62,76.19,1.03
423,Hami,0,CN,1571077351,27,42.84,93.51,53.51,6.31
424,Kibi,65,GH,1571077859,92,6.17,-0.55,76.01,2.98
425,Klaksvik,44,FO,1571077825,93,62.23,-6.59,41.0,8.05
426,Pechenga,100,RU,1571077861,89,58.89,41.46,39.47,1.69
427,Waddan,100,LY,1571077863,32,29.16,16.14,81.23,11.47
428,Yauya,99,PE,1571077864,50,-8.99,-77.29,52.79,8.18
429,Nampula,42,MZ,1571077866,78,-15.12,39.26,75.2,13.87
430,Merauke,87,ID,1571077867,84,-8.49,140.4,72.23,7.1
431,Ucluelet,75,CA,1571077869,76,48.94,-125.55,55.0,8.05
432,Batiano,100,PH,1571077870,92,11.41,122.58,75.29,2.11
433,Jalu,44,LY,1571077871,28,29.03,21.55,83.57,10.94
434,Teya,75,MX,1571077873,55,21.05,-89.07,91.99,11.41
435,Vaitape,21,PF,1571077874,80,-16.52,-151.75,77.09,14.21
436,Ballina,90,IE,1571077875,100,54.11,-9.15,54.0,5.82
437,Plainview,1,US,1571077877,22,34.18,-101.71,80.6,6.93
438,Offa,62,CI,1571077878,93,5.92,-4.35,77.45,3.09
439,Sorland,40,NO,1571077592,86,67.67,12.69,41.0,12.75
440,Panguna,100,PG,1571077881,98,-6.32,155.48,68.45,2.13
441,Plastun,0,RU,1571077882,55,44.76,136.29,27.95,5.4
442,Cabo San Lucas,75,MX,1571077479,83,22.89,-109.91,87.01,10.29
443,Oranjemund,21,ZA,1571077382,88,-28.55,16.43,59.09,15.97
444,Benguela,75,AO,1571077886,100,-12.58,13.4,73.4,2.45
445,Sao Paulo de Olivenca,69,BR,1571077671,81,-3.38,-68.87,82.85,3.05
446,Yatou,75,CM,1571077554,100,3.63,9.81,73.4,5.78
447,Kharp,100,RU,1571077890,97,66.82,65.8,30.65,6.62
448,Dolinsk,10,RU,1571077891,92,47.32,142.8,24.8,25.06
449,Nago,20,IT,1571077893,82,45.88,10.89,66.2,3.36
450,Lalmohan,25,BD,1571077894,77,22.34,90.74,74.93,5.28
451,Plettenberg Bay,0,ZA,1571077432,74,-34.05,23.37,61.97,8.55
452,Ayan,0,IR,1571077897,36,38.23,44.7,43.61,0.52
453,Aksu,100,KZ,1571077745,48,52.04,76.93,54.77,10.97
454,Aksha,49,RU,1571077899,42,50.28,113.29,30.83,7.88
455,Preeceville,99,CA,1571077901,62,51.95,-102.67,39.65,4.6
456,Simao,36,CN,1571077902,93,22.76,100.79,57.83,3.36
457,Mayor Pablo Lagerenza,100,PY,1571077657,37,-19.93,-60.77,92.57,8.29
458,Nawalgarh,0,IN,1571077905,28,27.85,75.27,81.05,10.44
459,Dandong,0,CN,1571077906,43,40.12,124.37,36.95,13.61
460,Hede,56,SE,1571077908,100,60.45,15.49,41.0,3.36
461,Edd,81,ER,1571077909,40,13.93,41.69,89.33,11.79
462,Shaoyang,100,CN,1571077911,87,27.23,111.45,62.51,3.85
463,Lavrentiya,100,RU,1571077840,81,65.58,-170.99,37.13,16.24
464,Noumea,67,NC,1571077331,87,-22.28,166.46,73.0,2.24
465,Qiqihar,17,CN,1571077915,37,47.35,123.91,34.61,9.89
466,Clarence Town,75,AU,1571077916,93,-32.59,151.78,59.0,2.96
467,Eureka,20,US,1571077917,81,40.8,-124.16,60.01,4.7
468,Rome,91,IT,1571077892,82,41.89,12.48,69.8,4.7
469,Pringsewu,62,ID,1571077920,98,-5.36,104.98,69.89,2.54
470,Saravan,0,AM,1571077921,41,39.72,45.65,53.6,9.17
471,Dwarka,0,IN,1571077923,69,28.58,77.04,86.0,3.36
472,Nishihara,75,JP,1571077924,100,35.74,139.53,64.0,8.05
473,Zaysan,0,KZ,1571077926,32,47.47,84.87,52.61,1.93
474,Okoneshnikovo,100,RU,1571077927,81,54.84,75.08,50.09,12.52
475,Touros,40,BR,1571077874,58,-5.2,-35.46,84.2,16.11
476,Kruisfontein,0,ZA,1571077758,77,-34.0,24.73,60.35,20.06
477,Kabare,40,RW,1571077931,82,-1.65,29.38,64.4,4.7
478,Padang,99,ID,1571077932,95,-0.92,100.36,66.11,2.1
479,Muzhi,100,RU,1571077635,98,65.4,64.7,36.59,10.16
480,La Ronge,90,CA,1571077936,65,55.1,-105.3,41.0,8.05
481,Quebec,75,CA,1571077938,58,46.83,-71.24,64.99,9.17
482,Igurubi,58,TZ,1571077940,37,-4.0,33.71,82.13,17.32
483,Pustoshka,83,RU,1571077941,83,56.34,29.37,54.59,13.52
484,Yenagoa,100,NG,1571077942,90,4.92,6.26,77.09,8.29
485,Pihani,0,IN,1571077944,49,27.62,80.2,76.55,3.71
486,Shahreza,56,IR,1571077945,43,32.01,51.87,55.49,5.0
487,Mayfield,84,GB,1571077947,100,55.87,-3.04,50.0,5.82
488,Atasu,100,KZ,1571077948,79,48.68,71.64,49.37,24.86
489,Hovd,1,NO,1571077950,89,63.83,10.7,43.0,9.17
490,Itapecerica,0,BR,1571077951,29,-20.47,-45.13,88.43,0.86
491,Jaisinghnagar,24,IN,1571077952,67,23.63,78.57,72.23,3.17
492,Buribay,53,RU,1571077954,84,51.96,58.16,42.89,13.46
493,Accra,29,GH,1571077955,78,5.56,-0.21,80.6,13.87
494,Deputatskiy,64,RU,1571077956,92,69.3,139.9,6.17,4.32
495,Nanortalik,0,GL,1571077539,69,60.14,-45.24,36.95,12.65
496,Den Helder,90,NL,1571077959,93,52.96,4.76,60.01,11.41
497,Palana,100,RU,1571077961,83,59.08,159.95,29.21,6.55
498,Manbij,67,SY,1571077962,34,36.53,37.96,64.4,1.12
499,Seoul,75,KR,1571077578,81,37.57,126.98,51.8,1.12
500,Kalianget,100,ID,1571077965,69,-7.35,109.91,82.4,2.24
501,Sargur,67,IN,1571077967,90,11.98,76.42,71.15,3.05
502,Evensk,69,RU,1571077617,77,61.92,159.24,11.75,9.93
503,Fukue,40,JP,1571077969,68,35.03,136.69,68.0,23.04
504,Taltal,52,CL,1571077971,61,-25.41,-70.49,61.43,7.87
505,Shevchenkove,75,UA,1571077972,87,49.7,37.18,55.4,8.95
506,Los Llanos de Aridane,75,ES,1571077648,64,28.66,-17.92,71.6,8.05
507,Umm Lajj,44,SA,1571077975,62,25.02,37.27,82.49,10.2
508,Aosta,75,IT,1571077977,72,45.74,7.32,68.0,3.36
509,Troitsk,38,RU,1571077978,77,54.08,61.55,43.61,13.41
510,San Carlos de Bariloche,75,AR,1571077979,33,-41.13,-71.31,46.99,16.11
511,Duma,74,CN,1571077981,52,34.88,111.1,48.83,7.06
512,Saint Anthony,1,US,1571077982,29,43.97,-111.68,55.99,10.29
513,Catalina,42,PE,1571077983,30,-13.57,-76.13,71.6,9.17
514,Konin,2,PL,1571077985,84,52.23,18.25,61.0,3.72
515,Shimoda,75,JP,1571077986,94,34.7,138.93,68.0,2.24
516,Zabol,0,IR,1571077987,30,31.03,61.49,68.0,33.33
517,Westport,1,US,1571077989,63,41.14,-73.36,72.0,8.05
518,Sohag,97,EG,1571077991,22,26.55,31.7,89.6,9.17
519,Tongchuan,96,CN,1571077992,81,34.9,108.95,51.8,13.42
520,Camopi,86,GF,1571077994,26,3.17,-52.33,99.23,4.97
521,Gavle,59,SE,1571077995,92,60.67,17.14,36.0,2.77
522,Batavia,90,US,1571077997,57,43.0,-78.19,52.0,9.17
523,Chimore,57,BO,1571077998,34,-16.98,-65.13,95.81,2.65
524,Coffs Harbour,63,AU,1571078000,87,-30.3,153.13,60.8,2.36
525,Tubalan,100,PH,1571078001,88,6.5,125.57,75.11,8.34
526,Rehoboth,97,NA,1571078002,31,-23.31,17.08,76.55,3.39
527,Shilka,100,RU,1571078004,44,51.85,116.03,34.79,5.17
528,Axim,64,GH,1571077725,87,4.87,-2.24,76.55,5.86
529,Devils Lake,1,US,1571078006,74,48.11,-98.87,41.0,4.7
530,Ajdabiya,38,LY,1571078008,45,30.75,20.22,81.41,8.16
531,Bonthe,66,SL,1571078009,80,7.53,-12.5,79.61,8.33
532,Muisne,75,EC,1571078010,74,0.61,-80.02,84.2,10.29
